property,type,cardinality,definition,vocabulary,maturity,sensitivity,category,age_applicability,valid_instruments
fcs_meat_fish_eggs_days,integer,single,"Number of days in the past seven during which any member of the household consumed meat, fish, or eggs (beef, goat, poultry, pork, bushmeat, fresh or dried fish and seafood, eggs of any kind). Part of the WFP Food Consumption Score (FCS); the standard FCS questionnaire asks this as a single combined protein question.",,draft,,food_security,,"wfp_fcs, wfp_cari"
fcs_dairy_days,integer,single,Number of days in the past seven during which any member of the household consumed milk and dairy at meal-contributing quantities (NOT small amounts used as condiments). Part of the WFP Food Consumption Score (FCS).,,draft,,food_security,,"wfp_fcs, wfp_cari"
fcs_fat_oil_days,integer,single,"Number of days in the past seven during which any member of the household consumed cooking oil, butter, ghee, and other fats. Part of the WFP Food Consumption Score (FCS).",,draft,,food_security,,"wfp_fcs, wfp_cari"
fcs_sugar_days,integer,single,"Number of days in the past seven during which any member of the household consumed sugar, honey, and sweet foods. Part of the WFP Food Consumption Score (FCS).",,draft,,food_security,,"wfp_fcs, wfp_cari"
fcs_condiments_days,integer,single,"Number of days in the past seven during which any member of the household consumed condiments, salt, spices, tea, or coffee used in small quantities. This is a screener item with FCS weight 0: frequent consumption of only condiments signals severe diet narrowing even though this group does not contribute to the composite score. Part of the WFP Food Consumption Score (FCS).",,draft,,food_security,,"wfp_fcs, wfp_cari"
rcsi_less_preferred_food_days,integer,single,Number of days in the past seven during which the household relied on less preferred or less expensive food. Part of the WFP/CARE Reduced Coping Strategies Index (rCSI).,,draft,,food_security,,"wfp_rcsi, wfp_cari"
rcsi_borrow_food_days,integer,single,Number of days in the past seven during which the household borrowed food or relied on help from friends or relatives. Part of the WFP/CARE Reduced Coping Strategies Index (rCSI).,,draft,,food_security,,"wfp_rcsi, wfp_cari"
rcsi_reduce_meal_size_days,integer,single,Number of days in the past seven during which the household limited portion sizes at mealtimes. Part of the WFP/CARE Reduced Coping Strategies Index (rCSI).,,draft,,food_security,,"wfp_rcsi, wfp_cari"
rcsi_reduce_meal_number_days,integer,single,Number of days in the past seven during which the household reduced the number of meals eaten per day. Part of the WFP/CARE Reduced Coping Strategies Index (rCSI).,,draft,,food_security,,"wfp_rcsi, wfp_cari"
rcsi_restrict_adult_consumption_days,integer,single,Number of days in the past seven during which the household restricted consumption by adults so that small children could eat. Part of the WFP/CARE Reduced Coping Strategies Index (rCSI).,,draft,sensitive,food_security,,"wfp_rcsi, wfp_cari"
lcs_spent_savings,string,single,"Frequency with which the household spent savings to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, stress tier.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_sold_household_items,string,single,"Frequency with which the household sold household items (furniture, radio, jewellery) to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, stress tier.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_reduced_nonfood_expenses,string,single,"Frequency with which the household reduced non-essential non-food spending, such as recreation or non-urgent purchases, to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, stress tier. Country adaptations vary on whether reductions in education spending sit here (stress) or in the crisis tier; operations should contextualise the tier assignment per country.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_borrowed_money_food,string,single,"Frequency with which the household borrowed money or bought food on credit to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, stress tier.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_sold_productive_assets,string,single,"Frequency with which the household sold productive assets (tools, sewing machine, livestock) to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, crisis tier.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_withdrew_children_from_school,string,single,"Frequency with which the household withdrew children from school to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, crisis tier.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_reduced_essential_nonfood,string,single,"Frequency with which the household reduced essential non-food spending, specifically health care, preventing access to needed treatment in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, crisis tier. Country adaptations vary on whether reductions in education spending sit here (crisis, when the reduction compromises schooling) or in the stress tier; operations should contextualise the tier assignment per country.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_consumed_seed_stock,string,single,"Frequency with which the household consumed seed stocks held for the next planting season to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, crisis tier.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_harvested_immature_crops,string,single,"Frequency with which the household harvested crops before maturity to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, crisis tier.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_sold_house_or_land,string,single,"Frequency with which the household sold the house or land to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, emergency tier.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_migrated_whole_household,string,single,"Frequency with which the whole household migrated to meet food needs in the past 30 days, distinct from seasonal or individual labour migration. Part of the WFP Livelihood Coping Strategies (LCS) module, emergency tier.",lcs-frequency,draft,,food_security,,"wfp_lcs, wfp_cari"
lcs_child_labor,string,single,"Frequency with which household members, including children, engaged in exploitative or high-risk work to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, emergency tier. Protection red flag: affirmative responses warrant referral to the relevant child protection actors.",lcs-frequency,draft,sensitive,food_security,,"wfp_lcs, wfp_cari"
lcs_early_marriage,string,single,"Frequency with which the household arranged the early marriage of a member (typically a girl) to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, emergency tier. Protection red flag: affirmative responses warrant referral to the relevant child protection and gender-based violence actors.",lcs-frequency,draft,sensitive,food_security,,"wfp_lcs, wfp_cari"
lcs_begging,string,single,"Frequency with which the household begged for food or money to meet food needs in the past 30 days. Part of the WFP Livelihood Coping Strategies (LCS) module, emergency tier.",lcs-frequency,draft,sensitive,food_security,,"wfp_lcs, wfp_cari"
hdds_cereals_consumed,boolean,single,"Whether any member of the household consumed an item from the cereals and grain products food group (bread, pasta, rice) in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).",,draft,,food_security,,fao_hdds
hdds_roots_tubers_consumed,boolean,single,"Whether any member of the household consumed an item from the white roots and tubers food group (white potato, white yam, cassava) in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).",,draft,,food_security,,fao_hdds
hdds_vegetables_consumed,boolean,single,"Whether any member of the household consumed an item from the vegetables food group, including dark green leafy vegetables, in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).",,draft,,food_security,,fao_hdds
hdds_fruit_consumed,boolean,single,Whether any member of the household consumed an item from the fruits food group in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).,,draft,,food_security,,fao_hdds
hdds_meat_poultry_offal_consumed,boolean,single,"Whether any member of the household consumed an item from the meat, poultry, and offal food group in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).",,draft,,food_security,,fao_hdds
hdds_eggs_consumed,boolean,single,Whether any member of the household consumed an item from the eggs food group in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).,,draft,,food_security,,fao_hdds
hdds_fish_seafood_consumed,boolean,single,Whether any member of the household consumed an item from the fish and seafood food group in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).,,draft,,food_security,,fao_hdds
hdds_legumes_nuts_seeds_consumed,boolean,single,"Whether any member of the household consumed an item from the legumes, nuts, and seeds food group (FAO group 8) in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).",,draft,,food_security,,fao_hdds
hdds_milk_dairy_consumed,boolean,single,Whether any member of the household consumed an item from the milk and dairy products food group in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).,,draft,,food_security,,fao_hdds
hdds_oils_fats_consumed,boolean,single,Whether any member of the household consumed an item from the oils and fats food group in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).,,draft,,food_security,,fao_hdds
hdds_sweets_consumed,boolean,single,"Whether any member of the household consumed an item from the sweets food group (sugar, honey, sweetened beverages, candies, cakes) in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).",,draft,,food_security,,fao_hdds
hdds_spices_condiments_beverages_consumed,boolean,single,"Whether any member of the household consumed an item from the spices, condiments, and beverages food group (FAO group 12) in the past 24 hours. One of twelve food groups used by the FAO Household Dietary Diversity Score (HDDS).",,draft,,food_security,,fao_hdds
fies_worried,boolean,single,"Whether, at any time during the FIES reference period, the household worried they would not have enough food because of lack of resources. One of eight experience-based items in the FAO Food Insecurity Experience Scale (FIES); the reference period is recorded in recall_period_days.",,draft,sensitive,food_security,,fao_fies
fies_unable_healthy_food,boolean,single,"Whether, at any time during the FIES reference period, the household was unable to eat healthy and nutritious food because of lack of resources. One of eight experience-based items in the FAO Food Insecurity Experience Scale (FIES); the reference period is recorded in recall_period_days.",,draft,sensitive,food_security,,fao_fies
fies_ate_few_foods,boolean,single,"Whether, at any time during the FIES reference period, the household ate only a few kinds of foods because of lack of resources. One of eight experience-based items in the FAO Food Insecurity Experience Scale (FIES); the reference period is recorded in recall_period_days.",,draft,sensitive,food_security,,fao_fies
fies_skip_meal,boolean,single,"Whether, at any time during the FIES reference period, the household had to skip a meal because of lack of resources. One of eight experience-based items in the FAO Food Insecurity Experience Scale (FIES); the reference period is recorded in recall_period_days.",,draft,sensitive,food_security,,fao_fies
fies_ate_less,boolean,single,"Whether, at any time during the FIES reference period, the household ate less than they thought they should because of lack of resources. One of eight experience-based items in the FAO Food Insecurity Experience Scale (FIES); the reference period is recorded in recall_period_days.",,draft,sensitive,food_security,,fao_fies
fies_ran_out,boolean,single,"Whether, at any time during the FIES reference period, the household ran out of food because of lack of resources. One of eight experience-based items in the FAO Food Insecurity Experience Scale (FIES); the reference period is recorded in recall_period_days.",,draft,sensitive,food_security,,fao_fies
fies_hungry,boolean,single,"Whether, at any time during the FIES reference period, a member of the household was hungry but did not eat because of lack of resources. One of eight experience-based items in the FAO Food Insecurity Experience Scale (FIES); the reference period is recorded in recall_period_days.",,draft,sensitive,food_security,,fao_fies
fies_went_whole_day_without,boolean,single,"Whether, at any time during the FIES reference period, a member of the household went without eating for a whole day because of lack of resources. One of eight experience-based items in the FAO Food Insecurity Experience Scale (FIES); the reference period is recorded in recall_period_days.",,draft,sensitive,food_security,,fao_fies
hhs_no_food,string,single,"Frequency with which, in the past 30 days, there was no food of any kind in the household because of lack of resources. One of three items in the FANTA Household Hunger Scale.",hhs-frequency,draft,sensitive,food_security,,fanta_hhs
hhs_went_sleep_hungry,string,single,"Frequency with which, in the past 30 days, any household member went to sleep at night hungry because there was not enough food. One of three items in the FANTA Household Hunger Scale.",hhs-frequency,draft,sensitive,food_security,,fanta_hhs
hhs_went_whole_day_without,string,single,"Frequency with which, in the past 30 days, any household member went a whole day and night without eating because there was not enough food. One of three items in the FANTA Household Hunger Scale.",hhs-frequency,draft,sensitive,food_security,,fanta_hhs
mahfp_months_adequate,integer,single,"The number of months, in the past 12, during which the household had enough food to meet its needs. Integer 0-12 (not schema-enforced). Output of the FANTA Months of Adequate Household Food Provisioning (MAHFP) indicator.",,draft,,food_security,,fao_mahfp
wdds_grains_consumed,boolean,single,"Whether the woman consumed an item from the grains, white roots and tubers, and plantains food group in the past 24 hours. One of ten food groups in the FAO Minimum Dietary Diversity for Women (MDD-W) indicator.",,draft,,food_security,"adolescent, adult",fao_wdds
wdds_pulses_consumed,boolean,single,Whether the woman consumed an item from the pulses food group in the past 24 hours. One of ten food groups in the FAO Minimum Dietary Diversity for Women (MDD-W) indicator.,,draft,,food_security,"adolescent, adult",fao_wdds
wdds_nuts_seeds_consumed,boolean,single,Whether the woman consumed an item from the nuts and seeds food group in the past 24 hours. One of ten food groups in the FAO Minimum Dietary Diversity for Women (MDD-W) indicator.,,draft,,food_security,"adolescent, adult",fao_wdds
wdds_dairy_consumed,boolean,single,Whether the woman consumed dairy products at meal-contributing quantities in the past 24 hours. One of ten food groups in the FAO Minimum Dietary Diversity for Women (MDD-W) indicator.,,draft,,food_security,"adolescent, adult",fao_wdds
wdds_meat_poultry_fish_consumed,boolean,single,"Whether the woman consumed an item from the meat, poultry, and fish food group in the past 24 hours. One of ten food groups in the FAO Minimum Dietary Diversity for Women (MDD-W) indicator.",,draft,,food_security,"adolescent, adult",fao_wdds
wdds_eggs_consumed,boolean,single,Whether the woman consumed eggs in the past 24 hours. One of ten food groups in the FAO Minimum Dietary Diversity for Women (MDD-W) indicator.,,draft,,food_security,"adolescent, adult",fao_wdds
wdds_dark_green_leafy_veg_consumed,boolean,single,Whether the woman consumed dark green leafy vegetables in the past 24 hours. One of ten food groups in the FAO Minimum Dietary Diversity for Women (MDD-W) indicator.,,draft,,food_security,"adolescent, adult",fao_wdds
wdds_vitamin_a_fruit_veg_consumed,boolean,single,"Whether the woman consumed other vitamin-A-rich fruits and vegetables (orange-fleshed sweet potato, mango, papaya, carrot, pumpkin) in the past 24 hours. One of ten food groups in the FAO Minimum Dietary Diversity for Women (MDD-W) indicator.",,draft,,food_security,"adolescent, adult",fao_wdds
wdds_other_vegetables_consumed,boolean,single,Whether the woman consumed other vegetables (not dark green leafy or vitamin-A-rich) in the past 24 hours. One of ten food groups in the FAO Minimum Dietary Diversity for Women (MDD-W) indicator.,,draft,,food_security,"adolescent, adult",fao_wdds
wdds_other_fruits_consumed,boolean,single,Whether the woman consumed other fruits (not vitamin-A-rich) in the past 24 hours. One of ten food groups in the FAO Minimum Dietary Diversity for Women (MDD-W) indicator.,,draft,,food_security,"adolescent, adult",fao_wdds
recall_period_days,integer,single,"Number of days of recall for instrument items that allow a variable reference period, primarily FIES (commonly 30 or 365 days) and HDDS/WDDS variants. May be omitted when the reference period is fixed by the instrument protocol, but populating it explicitly is valid and can aid data quality verification. Canonical recall periods by instrument: FCS 7 days, rCSI 7 days, HDDS 1 day, MDD-W 1 day, FIES 30 days (operational monitoring) or 365 days (SDG 2.1.2), HHS 30 days, LCS 30 days, MAHFP 12 months. Multi-instrument profiles pick one value, typically the longest.",,draft,,context,,
fcs_score,decimal,single,"The weighted Food Consumption Score for this administration, calculated as the sum of food-group frequency days multiplied by their WFP standard weights. Range 0-112. The canonical scoring uses nine food groups with weights from the WFP FCS Technical Guidance Note (2015).",,draft,,food_security,,wfp_fcs
fcs_consumption_group,string,single,"The food consumption group derived from fcs_score using WFP-published thresholds. Both the standard set (21/35) and the high-sugar/high-oil set (28/42) are WFP-canonical and valid for this field. Use ScoringEvent only for thresholds not published by WFP (national adaptations, researcher-defined cutoffs). Standard thresholds: poor (0-21), borderline (21.5-35), acceptable (> 35). Adjusted thresholds for high-sugar/high-oil contexts: poor (0-28), borderline (28.5-42), acceptable (> 42).",food-consumption-group,draft,,food_security,,wfp_fcs
rcsi_score,integer,single,"The reduced Coping Strategies Index score for this administration, calculated as the weighted sum of five coping strategy frequency days. Range 0-56. Higher scores indicate greater food insecurity. The canonical scoring uses WFP standard weights (1, 2, 1, 1, 3).",,draft,,food_security,,wfp_rcsi
hdds_score,integer,single,"The Household Dietary Diversity Score for this administration, calculated as the simple count of food groups consumed during the recall period. Range 0-12. Categorical interpretation (bands) is program-specific and not standardized by FAO or FANTA; programs that apply thresholds should record the result via ScoringEvent.",,draft,,food_security,,fao_hdds
mdd_w_score,integer,single,"The Minimum Dietary Diversity for Women score for this administration, calculated as the count of food groups consumed out of the 10 MDD-W food groups during the recall period. Range 0-10.",,draft,,food_security,,fao_mdd_w
mdd_w_achieved,boolean,single,"True when mdd_w_score is 5 or more of the 10 MDD-W food groups, indicating that the woman met the minimum dietary diversity threshold. This is the FAO/FHI 360 standard binary indicator from the MDD-W guidelines (2016).",,draft,,food_security,,fao_mdd_w
hhs_score,integer,single,"The Household Hunger Scale score for this administration, calculated by recoding the three HHS frequency questions and summing. Recoding per FANTA HHS Indicator Guide: never = 0, rarely (1-2 times) = 1, sometimes (3-10 times) or often (> 10 times) = 2. Range 0-6. Higher scores indicate greater household hunger.",,draft,,food_security,,fanta_hhs
hhs_category,string,single,"The household hunger category derived from hhs_score using FANTA standard thresholds: little to none (0-1), moderate (2-3), severe (4-5), very severe (6). Four categories per the FANTA HHS Indicator Guide (2010, revised 2017).",hhs-category,draft,,food_security,,fanta_hhs
fies_raw_score,integer,single,"The raw Food Insecurity Experience Scale score for this administration, calculated as the count of affirmative responses to the eight FIES items. Range 0-8. The Rasch-model-adjusted FIES scale score used for population-level prevalence estimation (SDG 2.1.2) requires calibration data and is not a per-record field; it belongs on a ScoringEvent.",,draft,,food_security,,fao_fies
lcs_band,string,single,"The livelihood coping severity band for this administration, derived by classifying the household into the highest severity tier of any strategy it adopted. Strategies are grouped into three tiers (stress, crisis, emergency) per the WFP CARI Guidelines. A strategy is considered adopted if the response is 'yes' or 'already exhausted'. If no strategy was adopted, the band is 'none'. This is the canonical worst-case classification used in WFP food security analysis.",lcs-band,draft,,food_security,,"wfp_lcs, wfp_cari"
